latitude,longitude,label,Protection_status
-67.0,-59.0,0.0,Weddell_protected
-67.0,-57.0,0.0,Weddell_protected
-67.0,-55.0,3.0,Weddell_protected
-67.0,-53.0,3.0,Weddell_protected
-67.0,-51.0,3.0,Weddell_protected
-67.0,-41.0,3.0,Weddell_protected
-67.0,-39.0,3.0,Weddell_protected
-67.0,-5.0,3.0,Weddell_protected
-67.0,-3.0,3.0,Weddell_protected
-67.0,-1.0,3.0,Weddell_protected
-69.0,-59.0,1.0,Weddell_protected
-69.0,-57.0,2.0,Weddell_protected
-69.0,-55.0,3.0,Weddell_protected
-69.0,-53.0,3.0,Weddell_protected
-69.0,-51.0,3.0,Weddell_protected
-69.0,-19.0,1.0,Weddell_protected
-69.0,-17.0,3.0,Weddell_protected
-69.0,-15.0,3.0,Weddell_protected
-69.0,-13.0,3.0,Weddell_protected
-69.0,-11.0,3.0,Weddell_protected
-69.0,-9.0,3.0,Weddell_protected
-69.0,-7.0,3.0,Weddell_protected
-69.0,-5.0,3.0,Weddell_protected
-69.0,-3.0,3.0,Weddell_protected
-69.0,-1.0,3.0,Weddell_protected
-71.0,-59.0,2.0,Weddell_protected
-71.0,-57.0,2.0,Weddell_protected
-71.0,-55.0,3.0,Weddell_protected
-71.0,-53.0,3.0,Weddell_protected
-71.0,-51.0,3.0,Weddell_protected
-71.0,-19.0,3.0,Weddell_protected
-71.0,-17.0,3.0,Weddell_protected
-71.0,-15.0,3.0,Weddell_protected
-73.0,-59.0,0.0,Weddell_protected
-73.0,-57.0,3.0,Weddell_protected
-73.0,-55.0,3.0,Weddell_protected
-73.0,-53.0,3.0,Weddell_protected
-73.0,-51.0,3.0,Weddell_protected
-73.0,-49.0,2.0,Weddell_protected
-73.0,-47.0,3.0,Weddell_protected
-73.0,-45.0,3.0,Weddell_protected
-73.0,-43.0,3.0,Weddell_protected
-73.0,-41.0,3.0,Weddell_protected
-73.0,-39.0,3.0,Weddell_protected
-73.0,-37.0,3.0,Weddell_protected
-73.0,-35.0,3.0,Weddell_protected
-73.0,-33.0,3.0,Weddell_protected
-73.0,-31.0,3.0,Weddell_protected
-73.0,-29.0,3.0,Weddell_protected
-73.0,-27.0,3.0,Weddell_protected
-73.0,-25.0,3.0,Weddell_protected
-73.0,-23.0,3.0,Weddell_protected
-73.0,-21.0,2.0,Weddell_protected
-75.0,-57.0,3.0,Weddell_protected
-75.0,-55.0,3.0,Weddell_protected
-75.0,-53.0,3.0,Weddell_protected
-75.0,-51.0,3.0,Weddell_protected
-75.0,-49.0,3.0,Weddell_protected
-75.0,-47.0,3.0,Weddell_protected
-75.0,-45.0,3.0,Weddell_protected
-75.0,-43.0,3.0,Weddell_protected
-75.0,-41.0,2.0,Weddell_protected
-75.0,-39.0,2.0,Weddell_protected
-75.0,-37.0,3.0,Weddell_protected
-75.0,-35.0,3.0,Weddell_protected
-75.0,-33.0,3.0,Weddell_protected
-75.0,-31.0,3.0,Weddell_protected
-75.0,-29.0,3.0,Weddell_protected
-75.0,-27.0,2.0,Weddell_protected
